,LIWC_neg,LIWC_pos,SentiWordNet_neg,SentiWordNet_pos,GI_neg,GI_pos,SenticNet_neg,SenticNet_pos,ANEW,EL,Source
able,0.0,0.0,0.0,0.125,0.0,1.0,,,,,2020
accepting,0.0,1.0,0.0,0.125,,,,,,,2020
accomplished,0.0,0.0,0.0,0.0,,,0.0,0.808,,,2020
accountant,0.0,0.0,0.0,0.0,,,-0.24,0.0,,,2020
achiever,0.0,0.0,0.0,0.25,,,0.0,0.338,,,2020
active,0.0,1.0,0.0,0.375,,,0.0,0.728,,6.68,2020
activist,0.0,0.0,0.0,0.0,,,,,,,2020
actor,0.0,0.0,0.0,0.0,,,,,,,2020
actress,0.0,0.0,0.0,0.0,,,,,,,2020
adaptable,0.0,0.0,0.0,0.0,0.0,1.0,-0.92,0.0,,,2020
addict,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.827,2.48,,2020
admirable,0.0,1.0,0.0,0.75,0.0,1.0,0.0,0.381,,,2020
admired,0.0,1.0,0.125,0.625,,,0.0,0.108,7.74,7.8,2020
admirer,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.309,,,2020
adolescent,0.0,0.0,0.0,0.0,,,0.0,0.839,,,2020
adorable,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.317,7.81,7.46,2020
adventure,0.0,1.0,0.0,0.25,,,0.0,0.823,7.6,,2020
adventurer,0.0,1.0,0.0,0.0,,,0.0,0.772,,,2020
adventuresome,0.0,1.0,0.25,0.625,0.0,1.0,0.0,0.268,,,2020
adventurous,0.0,1.0,0.25,0.625,0.0,1.0,0.0,0.15,,6.92,2020
affectionate,0.0,1.0,0.0,0.625,0.0,1.0,0.0,0.731,,,2020
affluent,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.764,,,2020
affordable,0.0,0.0,0.0,0.0,,,0.0,0.913,,7.13,2020
aficionado,0.0,0.0,0.0,0.0,,,0.0,0.96,,,2020
african_american,0.0,0.0,0.0,0.0,,,,,,,2020
age,0.0,0.0,0.0,0.0,,,0.0,0.873,,,2020
aggressive,1.0,0.0,0.0,0.5,1.0,0.0,-0.89,0.0,5.1,,2020
agile,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.74,,,2020
agreeable,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.841,,7.24,2020
airhead,0.0,0.0,0.0,0.0,,,,,,,2020
alert,0.0,0.0,0.0,0.0,,,-0.8,0.0,6.2,,2020
alive,0.0,0.0,0.0,0.125,0.0,1.0,0.0,0.45,7.25,,2020
