ResponseId,positive,neutral,negative,unknown,total
R_3My5nJEWBlBcLYJ,4,4,0,0,8
R_tX8yyL4o62ToMnL,7,1,1,0,9
R_1ilK5EO6g0cdv10,9,0,0,0,9
R_3MrtRv0VUALapKr,4,3,1,0,8
R_31hIfVMGevmjlKW,5,3,0,0,8
R_29uIcUu3WovwpGC,7,5,1,0,13
R_2OPwR4FvMWrWV6C,5,4,1,0,10
R_RelOLwGzOb1Cmn7,8,3,0,0,11
R_3L10QZjFZxshFu8,0,9,0,0,9
R_1LoI85ASghYP6bL,5,0,0,0,5
R_XSdQB2HVdBCpkGZ,7,0,0,0,7
R_1Hodwhu3djqtuBw,3,3,0,0,6
R_3Jq3i5Tha6OvA89,1,2,6,0,9
R_2Enmn7IBkcOWShm,7,2,0,0,9
R_Adj8jdKiczVSTS1,9,1,0,0,10
R_1lrxjwdE9Y75ycu,1,4,0,0,5
R_VUMfn6MI2knQINj,6,3,0,0,9
R_2wAKWs9HixH0xly,7,3,0,0,10
R_1mVKWUcxMB1uu9h,7,2,0,0,9
R_u49E00k0Y58IU8x,10,0,0,0,10
R_2dYpzntZbgSZsEp,4,4,0,0,8
R_2fASkgGMdacOZyt,6,2,2,0,10
R_3Eiqffd8ghPLWQQ,1,4,1,0,6
R_1j6UZLZGypFcph8,7,2,0,0,9
R_1QoUu11uLV1kOQu,1,5,3,0,9
R_2ZKoLxMXsVos7Ks,4,5,1,0,10
R_23ZZOGskHayTfNw,8,2,0,0,10
R_w5ArLLx1nYcjQE9,1,5,4,0,10
R_2ZCtiPu7tytiS7z,7,4,0,0,11
R_1qdFlxNWDT8T1xC,9,0,0,0,9
R_2zBW2qbkmci68jK,6,6,0,0,12
R_10Hk1uxoEdYYMnJ,8,1,0,0,9
R_3h6msW4i3LyTog6,10,2,0,0,12
R_1FtZ0TvkXpfgQWS,3,2,1,0,6
R_3O65ozs9jxEqEI2,7,2,1,0,10
R_41ti3PRaZhlCqQN,4,3,3,0,10
R_31N6F9OBsdlYM7m,7,2,0,0,9
R_1H2D7JzT2mOMZ0B,9,1,0,0,10
R_1r9eJ17NMP1E0wE,8,1,0,0,9
R_z7FUHNGnOH8HzJT,7,3,1,0,11
R_1CpTipAVwdJ7m4x,8,1,1,0,10
R_2Ec1p1c8FgfaOE4,4,6,0,0,10
R_1Kx92flJkJxQTXw,3,4,2,0,9
R_e5JnuL0zjJ1hUTn,7,3,0,0,10
R_2ALm0fydCaMI09N,6,2,2,0,10
R_2xz8LCg0kuW7cKu,5,4,0,0,9
R_3Hq80YPgoZm63CW,0,2,6,0,8
R_XCkyZzfSWuvTnBD,5,4,0,0,9
R_29suJXnptK5r7TQ,5,2,0,0,7
R_endNfeo3Ltk3fXz,4,4,0,0,8
R_3HhNLzPkrGVPt3G,5,4,0,0,9
R_2qrOYddztreuEqE,6,3,2,0,11
R_27DMY90c4fsCaRG,2,4,3,0,9
R_1P4V1XVSNJ4V1uB,8,1,0,0,9
R_277Keb7U30RXIRy,5,5,0,0,10
R_2Ylg58KBH34E28x,2,2,5,0,9
R_3s4aeth2iJdFEKw,4,4,1,0,9
R_3FRvls1v6hnXPzi,1,7,1,0,9
R_2WNjGNqekyfrdLM,6,3,0,0,9
R_aW5wdktSe6BWlEJ,2,1,5,0,8
R_2aejXpcxFq0hKMJ,5,1,2,0,8
R_A72iIlxsToDHI7T,5,2,3,0,10
R_33jwzwGgVQriDZX,7,0,0,0,7
R_2b3l4aSf3sY5S5v,6,3,0,0,9
R_VVfY0VnDXOk1JHr,5,4,0,0,9
R_3haOydxaKnGIIBo,5,4,0,0,9
R_2YbOyJ50vvk9olD,0,8,2,0,10
R_2BgEU3OjxBUpCbx,6,3,1,0,10
R_r9dMlc63KQfE397,4,5,1,0,10
R_2q9rby8kktFpk7p,3,2,3,0,8
R_28YQ5FKYwcG79Qb,4,5,0,0,9
R_3IcRuuJYgd3ynUh,2,6,0,0,8
R_w4V5HzOQ8drNEpX,6,4,0,0,10
R_2b0EhUHzkaYZShc,4,4,2,0,10
R_21zErFGM5MYMXjJ,5,1,0,0,6
R_3p5d3avjJjbkpvD,3,1,2,0,6
R_1CkZ5n2MunXVMdM,0,3,5,0,8
