,label,central_word,stdev,weight,observations,word
9,9,smart,0.1454783314044273,0.06423955467400345,1003,"['smart', 'intelligent', 'resourceful', 'crafty', 'talented', 'tech_savvy', 'clever', 'savvy', 'wise', 'witty', 'sharp']"
57,57,normal,0.27986414958380035,0.04446861603429522,694,"['average', 'everyday', 'normal', 'ordinary', 'regular', 'basic', 'normie', 'casual', 'usual', 'worldly', 'standard']"
65,65,shopper,0.1764819044870405,0.03384733508221895,528,"['bargain_hunter', 'shopper', 'buyer', 'seller', 'bidder', 'owner', 'product']"
78,78,child,0.12604426785654055,0.02866466184656728,447,"['child', 'teenager', 'teen', 'kid']"
84,84,frugal,0.142528998987269,0.028344743745601118,442,"['frugal', 'thrifty', 'cheap']"
79,79,curious,0.1006201578759194,0.027001087721543294,421,"['weird', 'curious', 'inquisitive', 'interesting']"
60,60,student,0.08316930889959825,0.025273529976326058,394,"['student', 'educator', 'learner', 'teacher']"
13,13,young,0.07572214937692864,0.024121824812847904,376,"['young', 'younger', 'youthful', 'youth']"
7,7,fun,0.04668471860438738,0.02367393947149529,369,"['fun', 'funny', 'playful', 'entertaining']"
12,12,friendly,0.26759317550121253,0.023162070509949454,361,"['laidback', 'friendly', 'likeable', 'humble', 'easygoing', 'relaxed', 'talkative', 'carefree', 'calm', 'comfortable', 'funloving']"
31,31,man,0.0890011898658799,0.02220231620705099,346,"['man', 'male', 'boy', 'guy', 'dude']"
32,32,woman,0.10678524130043472,0.020474758461833775,319,"['woman', 'girl', 'female']"
56,56,active,0.1935371296249694,0.01804338089449101,281,"['active', 'healthy', 'energetic', 'bright', 'lively', 'alive']"
29,29,great,0.23009043915635538,0.01772346279352486,276,"['nice', 'unique', 'hyper', 'exciting', 'awesome', 'good', 'generous', 'great', 'helpful']"
92,92,worker,0.12911799047530229,0.017595495553138395,274,"['worker', 'executive', 'employee', 'manager', 'office_worker']"
66,66,mom,0.16385907080658169,0.017147610211785784,267,"['mother', 'parent', 'mom', 'grandparent', 'sister']"
48,48,unhealthy,0.13978418487572997,0.01657175763004671,258,"['unhealthy', 'sad', 'poor', 'needy']"
47,47,trendy,0.1200222276853585,0.016507774009853482,257,"['modern', 'trendy', 'designer', 'stylish', 'popular', 'fancy']"
40,40,happy,0.06267647469779565,0.01618785590888733,252,"['happy', 'cheerful', 'joyful', 'bubbly', 'satisfied']"
39,39,adventurous,0.18683288754314262,0.0159319214281144,248,"['creative', 'genius', 'innovator', 'innovative', 'adventurous', 'creator', 'bold', 'brave']"
43,43,hardworking,0.1907298957410651,0.01567598694734148,244,"['busy', 'hard_worker', 'hardworking', 'diligent', 'studious']"
27,27,thirsty,0.1294703003026375,0.014588265404056562,227,"['drinker', 'thirsty', 'partier']"
19,19,old,0.15326690630307138,0.013436560240578412,209,"['middle_aged', 'older', 'old', 'old_fashioned', 'old_school', 'outdated', 'senior', 'nostalgic']"
64,64,dumb,0.19385146916079582,0.013244609379998721,206,"['sucker', 'idiot', 'loser', 'lazy', 'fool', 'silly', 'stupid', 'dumb']"
6,6,obese,0.12180677226057773,0.012988674899225798,202,"['fat', 'obese', 'diabetic', 'overweight']"
28,28,consumer,0.10375580713644528,0.012604773178066414,196,"['consumer', 'customer', 'patient']"
61,61,nerd,0.1304289894112663,0.012284855077100261,191,"['nerd', 'geek', 'techie', 'introvert', 'hobbyist', 'nerdy']"
25,25,dependable,0.15545701932544892,0.012220871456907033,190,"['reliable', 'efficient', 'dependable', 'trustworthy', 'honest', 'effective', 'trusting']"
49,49,cool,0.018804044710119407,0.010813231812655961,168,"['cool', 'chill']"
16,16,friend,0.1279632807025169,0.010813231812655961,168,"['lover', 'friend', 'neighbor']"
38,38,seeker,0.13866344033061379,0.01081323181265596,168,"['seeker', 'searcher', 'searching', 'seeking', 'questioning']"
24,24,affluent,0.07492399015428024,0.010557297331883037,164,"['affluent', 'rich', 'middle_class', 'wealthy']"
17,17,professional,0.1344616803085974,0.010301362851110116,160,"['professional', 'knowledgable', 'educated']"
71,71,american,0.022636902178696964,0.010173395610723654,158,"['american', 'midwestern']"
10,10,tech,0.12505291018055847,0.010045428370337194,156,"['tech', 'technological', 'techy', 'technical', 'technology', 'knowledge', 'technologically']"
85,85,eager,0.19624404142953988,0.010045428370337194,156,"['picky', 'eager', 'interested', 'demanding', 'ambitious', 'impatient', 'wanting', 'concerned', 'impulsive']"
14,14,careful,0.15493733386740793,0.009853477509757505,153,"['thorough', 'discerning', 'thoughtful', 'careful', 'conscientious', 'practical', 'caring', 'cautious']"
99,99,fan,0.13052028747031064,0.00972551026937104,151,"['follower', 'fan', 'enthusiast', 'hater']"
52,52,outgoing,0.06400796196531333,0.0092136413078252,143,"['extrovert', 'extroverted', 'outgoing']"
26,26,saver,0.15269891904975885,0.009021690447245505,140,"['saver', 'thrifter', 'spendthrift', 'cheapskate', 'spender', 'saving']"
2,2,classic,0.08046722576968146,0.00876575596647258,136,"['typical', 'classic', 'traditional', 'mainstream']"
21,21,businessperson,0.06851011113314279,0.00831787062511997,129,"['businessman', 'entrepreneur', 'businessperson', 'entrepreneurial']"
68,68,collector,0.029806121866267913,0.008189903384733509,127,"['collector', 'hoarder']"
63,63,father,0.04800349530111905,0.008061936144347049,125,"['father', 'dad', 'brother']"
96,96,influencer,0.111965542182175,0.007997952524153817,124,"['celebrity', 'trendsetter', 'influencer']"
90,90,loyal,0.1445973808726743,0.007997952524153817,124,"['loyal', 'loyalist', 'stable', 'dedicated', 'sincere', 'loving']"
