,LIWC_neg,LIWC_pos,SentiWordNet_neg,SentiWordNet_pos,GI_neg,GI_pos,SenticNet_neg,SenticNet_pos
average,0.0,0.0,0.0,0.0,,,0.0,0.811
american,0.0,0.0,0.0,0.0,,,,
business,0.0,0.0,0.0,0.0,,,,
extrovert,0.0,0.0,0.0,0.0,,,0.0,0.229
nice,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.123
celebrity,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.826
bargain_hunter,0.0,0.0,0.0,0.0,,,0.0,0.087
young,0.0,0.0,0.125,0.0,,,0.0,0.845
modern,0.0,0.0,0.0,0.0,,,0.0,0.894
researcher,0.0,0.0,0.0,1.0,,,-0.83,0.0
fat,0.0,0.0,0.0,0.0,1.0,0.0,-0.98,0.0
soda,0.0,0.0,0.0,0.0,,,,
drinker,0.0,0.0,0.0,0.0,,,-0.64,0.0
everyday,0.0,0.0,0.0,0.125,,,,
younger,0.0,0.0,0.375,0.0,,,0.0,0.861
smart,0.0,1.0,0.625,0.0,0.0,1.0,0.0,0.921
shopper,0.0,0.0,0.0,0.0,,,0.0,0.087
frugal,0.0,0.0,0.25,0.0,0.0,1.0,0.0,0.177
sucker,1.0,0.0,0.125,0.125,1.0,0.0,-0.97,0.0
middle_aged,0.0,0.0,0.0,0.0,,,,
mother,0.0,0.0,0.0,0.0,,,,
man,0.0,0.0,0.0,0.0,,,,
child,0.0,0.0,0.0,0.0,,,0.0,0.81
athlete,0.0,0.0,0.0,0.0,,,0.0,0.931
saver,0.0,0.0,0.25,0.0,,,,
professional,0.0,0.0,0.0,0.0,,,-0.2,0.0
worker,0.0,0.0,0.0,0.0,,,0.0,0.726
student,0.0,0.0,0.0,0.0,,,0.0,0.854
thrifty,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.177
normal,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9
consumer,0.0,0.0,0.0,0.0,,,0.0,0.816
ordinary,0.0,0.0,0.0,0.0,,,-0.93,0.0
southerner,0.0,0.0,0.0,0.0,,,-0.14,0.0
tech,0.0,0.0,0.0,0.0,,,,
millennial,0.0,0.0,0.0,0.0,,,,
sugar,0.0,0.0,0.0,0.0,,,0.0,0.834
lover,0.0,1.0,0.0,0.0,0.0,1.0,,
teenager,0.0,0.0,0.0,0.0,,,,
collector,0.0,0.0,0.0,0.0,,,-0.92,0.0
unhealthy,0.0,0.0,0.75,0.0,1.0,0.0,-0.12,0.0
buyer,0.0,0.0,0.0,0.0,,,-0.83,0.0
obese,0.0,0.0,0.25,0.25,,,-0.97,0.0
teen,0.0,0.0,0.0,0.0,,,,
intelligent,0.0,1.0,0.0,0.25,0.0,1.0,0.0,0.74
male,0.0,0.0,0.0,0.0,,,,
older,0.0,0.0,0.0,0.5,,,0.0,0.259
old,0.0,0.0,0.0,0.0,,,-0.81,0.0
nerd,1.0,0.0,0.5,0.0,,,0.0,0.9
unique,0.0,0.0,0.0,0.375,0.0,1.0,0.0,0.382
reseller,0.0,0.0,0.0,0.0,,,,
creative,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.189
genius,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.283
trendsetter,0.0,0.0,0.0,0.0,,,,
seeker,0.0,0.0,0.0,0.0,,,,
bargain,0.0,0.0,0.0,0.0,0.0,1.0,-0.64,0.0
regular,0.0,0.0,0.0,0.0,,,0.0,0.963
cool,0.0,1.0,0.375,0.25,1.0,0.0,0.0,0.9
woman,0.0,0.0,0.0,0.0,,,,
geek,1.0,0.0,0.25,0.0,,,-0.96,0.0
dealer,0.0,0.0,0.0,0.0,,,-0.86,0.0
searcher,0.0,0.0,0.0,0.0,,,0.0,0.811
citizen,0.0,0.0,0.0,0.0,,,0.0,0.06
resourceful,0.0,0.0,0.125,0.5,0.0,1.0,0.0,0.861
knowledgable,0.0,0.0,0.0,0.0,,,0.0,0.254
techie,0.0,0.0,0.0,0.375,,,-0.96,0.0
thrifter,0.0,0.0,0.0,0.0,,,,
spendthrift,0.0,0.0,0.0,0.0,,,0.0,0.382
educator,0.0,0.0,0.0,0.0,,,0.0,0.287
weird,1.0,0.0,0.0,0.0,1.0,0.0,-0.87,0.0
traditionalist,0.0,0.0,0.0,0.0,,,0.0,0.851
everyman,0.0,0.0,0.125,0.0,,,-0.78,0.0
busy,0.0,0.0,0.0,0.375,,,,
cheapskate,0.0,0.0,0.0,0.0,,,-0.81,0.0
laidback,0.0,1.0,0.0,0.0,,,0.0,0.887
user,0.0,0.0,0.0,0.0,,,,
technological,0.0,0.0,0.0,0.0,,,0.0,0.752
caffeine_addict,0.0,0.0,0.0,0.0,,,,
gamer,0.0,0.0,0.5,0.0,,,,
follower,0.0,0.0,0.0,0.0,,,0.0,0.287
curious,0.0,0.0,0.375,0.125,,,0.0,0.91
diabetic,0.0,0.0,0.375,0.0,,,-0.2,0.0
fan,0.0,0.0,0.0,0.0,,,0.0,0.114
executive,0.0,0.0,0.0,0.25,,,-0.84,0.0
family,0.0,0.0,0.0,0.0,,,0.0,0.883
information,0.0,0.0,0.0,0.0,,,0.0,0.44
employed,0.0,0.0,0.0,0.0,,,,
inquisitive,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.91
fun,0.0,1.0,0.0,0.375,0.0,1.0,0.0,0.858
seller,0.0,0.0,0.0,0.0,,,,
techy,0.0,0.0,0.25,0.0,,,0.0,0.9
businessman,0.0,0.0,0.0,0.0,,,0.0,0.329
customer,0.0,0.0,0.0,0.0,,,,
girl,0.0,0.0,0.0,0.0,,,,
employee,0.0,0.0,0.0,0.0,,,0.0,0.917
competent,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.349
responsible,0.0,0.0,0.0,0.625,0.0,1.0,0.0,0.167
minded,0.0,0.0,0.5,0.0,,,,
parent,0.0,0.0,0.0,0.0,,,,
innovator,0.0,0.0,0.0,0.0,,,0.0,0.768
friendly,0.0,0.0,0.0,0.125,0.0,1.0,0.0,0.887
thirsty,0.0,0.0,0.0,0.25,1.0,0.0,-0.79,0.0
friend,0.0,0.0,0.0,0.125,0.0,1.0,0.0,0.298
affluent,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.764
reliable,0.0,0.0,0.0,0.375,0.0,1.0,0.0,0.164
enthusiast,0.0,1.0,0.0,0.125,,,0.0,0.32
deal,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9
hunter,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.823
sophisticated,0.0,0.0,0.0,0.125,0.0,1.0,0.0,0.9
rich,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.972
idiot,1.0,0.0,0.125,0.0,1.0,0.0,-0.06,0.0
influencer,0.0,0.0,0.0,0.0,,,,
efficient,0.0,0.0,0.375,0.375,0.0,1.0,0.0,0.163
boring,1.0,0.0,0.0,0.0,,,-0.25,0.0
mom,0.0,0.0,0.0,0.875,,,,
